,bvdid,priority,ListLabel,Typology,EntryType,Name,InternalID_1,InternalID_1_type,InternalID_2,InternalID_2_type,InternalID_3,InternalID_3_type,CoType,License_Type,Address_1,Address_2,City,Zip,Cntry,Phone,Fax,Website,Email,RegulationType,RegulationTypeCode,RegulationDate,CancellationDate,RegCtry,RegCode,ListCode,ListLanguage,ListValidityDate,ListName,ListProcessDate,LEI Code,BIC SWIFT Code,Name - Mother Company,Address_1 - Mother company,Address_2 -  Mother company,City - Mother company,Zip - Mother company,Cntry - Mother company,Phone - Mother company,Check
0,,,,,,The People's Insurance Company (Group) of China Limited,000001,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
1,,,,,,China Life Insurance (Group) Company,000004,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
2,,,,,,China Reinsurance (Group) Corporation,000007,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
3,,,,,,China Taiping Insurance Group Ltd.,000065,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
4,,,,,,"CHINA PACIFIC INSURANCE(GROUP)CO., LTD.",000013,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
5,,,,,,China United Insurance Group Company Limited,000107,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
6,,,,,,"Ping An Insurance (Group) Company of China, Ltd.",000016,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
7,,,,,,Sunshine Insurance Group Company Limited,000123,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
8,,,,,,"HUATAI INSURANCE GROUP CO., LTD.",000021,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
9,,,,,,TAIKANG INSURANCE GROUP INC.,000020,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
10,,,,,,"DaJia Insurance Group Co., Ltd.",000241,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
11,,,,,,"Funde Insurance Holding Co., Ltd.",000197,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
12,,,,,,Allianz (China) Insurance Holding Company Limited,000243,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
13,,,,,,China Export & Credit Insurance Corporation,000011,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
14,,,,,,PICC Property and Casualty Company Limited,000002,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
15,,,,,,China Continent Property & Casualty Insurance Company Ltd.,000010,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
16,,,,,,China United Property Insurance Company Limited,000012,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
17,,,,,,"China Pacific Property Insurance co., Ltd",000014,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
